"name","playerId"
"Phillips, Paul (150207)",150207
"Ray, Kenneth (150208)",150208
"Reichert, Daniel (150209)",150209
"Guzman, Cristian (150217)",150217
"Jones, Jacque (150218)",150218
"Moeller, Chad (150224)",150224
"Pierzynski, Anthony (150229)",150229
"Toca, Jorge (150243)",150243
"Haad, Yamid (150251)",150251
"Feliz, Pedro (150268)",150268
"Guzman, Edwards (150270)",150270
"Minor, Damon (150272)",150272
"Nathan, Joseph (150274)",150274
"Torrealba, Yorvit (150275)",150275
"Davis, Douglas (150277)",150277
"Glynn, Ryan (150281)",150281
"Knight, Brandon (150284)",150284
"Mateo, Ruben (150288)",150288
"Pena, Carlos (150289)",150289
"Matos, Pascual (150303)",150303
"Moss, Damian (150305)",150305
"Barcelo, Lorenzo (150311)",150311
"Wells, Robert (150337)",150337
"Brower, James (150342)",150342
"Driskill, Travis (150344)",150344
"Martinez, William (150346)",150346
"Ramirez, Alexander (150352)",150352
"Almonte, Hector (150356)",150356
"Garcia, Amaury (150362)",150362
"Ozuna, Pablo (150367)",150367
"Ramirez, Julio (150369)",150369
"Tejera, Michael (150373)",150373
"Bocachica, Hiram (150375)",150375
"Rolls, Damian (150390)",150390
"Armas, Antonio (150393)",150393
"De La Rosa, Tomas (150401)",150401
"Fernandez, Jose (150403)",150403
"Lilly, Theodore (150404)",150404
"Mota, Guillermo (150407)",150407
"Pachot, John (150408)",150408
"Westbrook, Jacob (150414)",150414
"Hernandez, Ramon (150421)",150421
"Vizcaino, Luis (150430)",150430
"Gonzalez, Wiklenman (150435)",150435
"Guzman, Domingo (150436)",150436
"Lopez, Rodrigo (150438)",150438
"Melo, Juan (150440)",150440
"Jimenez, Jose (150455)",150455
"Leon, Jose (150459)",150459
"Estrella, Leoncio (150471)",150471
"Lopez, Felipe (150479)",150479
"Sanders, Anthony (150483)",150483
"Berkman, William (204020)",204020
"Mora, Melvin (206551)",206551
"Penny, Bradley (207267)",207267
"Franco, Julio (212297)",212297
"Estrada, Horacio (216194)",216194
"Snyder, Kyle (216897)",216897
"Bloomquist, William (217100)",217100
"Ford, Jon (217915)",217915
"Rodriguez, Liubiemithz (218594)",218594
"Woodward, Christopher (218595)",218595
"Durazo, Erubiel (220194)",220194
"Fernandez, Jared (220594)",220594
"Strickland, Scott (232994)",232994
"Cortes, David (233694)",233694
"Carlyle, Earl (234194)",234194
"Hackman, Luther (235097)",235097
"Dawkins, Travis (235194)",235194
"Riley, Matthew (235494)",235494
"Cancel, Robinson (236155)",236155
"Romano, Michael (237334)",237334
"Garcia, Michael (237694)",237694
"Quinn, Mark (240494)",240494
"Romero, Juan (240694)",240694
"Abreu, Winston (275700)",275700
"Matos, Luis (275928)",275928
"Quevedo, Ruben (275935)",275935
"Zuleta, Julio (275936)",275936
"Clark, Brady (276054)",276054
"Santos, Victor (276343)",276343
"Villafuerte, Brandon (276344)",276344
"Treanor, Matthew (276354)",276354
"Franklin, Gary (276356)",276356
"Robertson, Jeriome (276359)",276359
"Santana, Johan (276371)",276371
"Rivas, Luis (276372)",276372
"Pena, Wily (276377)",276377
"Gonzalez, Dicky (276508)",276508
"Escobar, Alexander (276510)",276510
"Ortiz, Jose (276515)",276515
"Cota, Humberto (276521)",276521
"Redman, Julian (276523)",276523
"Walker, Kevin (276526)",276526
"Rodriguez, Guillermo (276534)",276534
"Elder, David (276541)",276541
"Benoit, Joaquin (276542)",276542
"Bowers, Cedrick (276914)",276914
"Rivera, Luis (277182)",277182
"Guzman, Elpido (277398)",277398
"Miller, Justin (277405)",277405
"Coco, Pasqual (277412)",277412
"Burnside, Adrian (277416)",277416
"Green, Steve (279561)",279561
