batterId,playerId,name
342892,342892,"Keisler, Randy (342892)"
346795,346795,"Chavez, Endy (346795)"
346796,346796,"Gomez, Alexis (346796)"
346846,346846,"Valderrama, Carlos (346846)"
346863,346863,"Nunez, Abraham (346863)"
346874,346874,"Uribe, Juan (346874)"
367893,367893,"Melian, Jackson (367893)"
400018,400018,"Olivo, Miguel (400018)"
400021,400021,"Borchard, Joseph (400021)"
400073,400073,"Salazar, Oscar (400073)"
400083,400083,"Torres, Andres (400083)"
400090,400090,"Cintron, Alexander (400090)"
400095,400095,"Almonte, Erick (400095)"
400116,400116,"Mateo, Henry (400116)"
400118,400118,"Ruan, Wilkin (400118)"
400128,400128,"Sanchez, Alexis (400128)"
400129,400129,"Diaz, Juan (400129)"
400139,400139,"Aldridge, Cory (400139)"
400140,400140,"Betemit, Wilson (400140)"
400148,400148,"Mendez, Donaldo (400148)"
400153,400153,"Espinosa, David (400153)"
400158,400158,"Gibbons, Jay (400158)"
400268,400268,"Boscan, Jean (400268)"
400300,400300,"Cesar, Dionys (400300)"
406428,406428,"Raines, Timothy (406428)"
406678,406678,"Crespo, Cesar (406678)"
406733,406733,"Brumbaugh, Clifford (406733)"
407155,407155,"Monroe, Craig (407155)"
407296,407296,"Zambrano, Carlos (407296)"
407396,407396,"Harvey, Kenneth (407396)"
407397,407397,"German, Esteban (407397)"
407399,407399,"House, James (407399)"
407487,407487,"Rivera, Juan (407487)"
407496,407496,"Vazquez, Ramon (407496)"
407556,407556,"Berroa, Angel (407556)"
407576,407576,"Rivera, Michael (407576)"
407577,407577,"Abad, Fausto (407577)"
407777,407777,"Broussard, Benjamin (407777)"
407781,407781,"Byrd, Marlon (407781)"
407785,407785,"Machado, Anderson (407785)"
407786,407786,"Padilla, Jorge (407786)"
407792,407792,"Amezaga, Alfredo (407792)"
407810,407810,"Santos, Francisco (407810)"
407813,407813,"Reyes, Rene (407813)"
407815,407815,"Perez, Antonio (407815)"
407821,407821,"Garcia, Luis (407821)"
407828,407828,"Cepicky, Matthew (407828)"
407831,407831,"Pascucci, Valentino (407831)"
407832,407832,"Valdez, Wilson (407832)"
407835,407835,"Lane, Jason (407835)"
